date;from;until;activity;subgroup;program;floor;roomcategory;capacity;area;credits;usercount;totalstudents
20251103;154500;174500;Activerend hoorcollege;GRAD-EMS-MRT/DAG/1A;GRAD-EMS-MRT;1;laptoplokaal;90;142.48;3;5;20
20251103;154500;174500;Activerend hoorcollege;GRAD-EMS-OHT/DAG/1A;GRAD-EMS-OHT;1;laptoplokaal;90;142.48;3;7;17
20251103;154500;174500;Activerend hoorcollege;GRAD-EMS-OHT/DAG/1B;GRAD-EMS-OHT;1;laptoplokaal;90;142.48;3;4;21
20251103;154500;174500;Activerend hoorcollege;GRAD-EMS-MRT/DAG/1B;GRAD-EMS-MRT;1;laptoplokaal;90;142.48;3;2;21
20251103;154500;174500;Activerend hoorcollege;GRAD-EMS-OHT/DAG/1C;GRAD-EMS-OHT;1;laptoplokaal;90;142.48;3;1;21
20251117;154500;174500;Activerend hoorcollege;GRAD-EMS-MRT/DAG/1A;GRAD-EMS-MRT;1;laptoplokaal;90;142.48;3;8;20
20251117;154500;174500;Activerend hoorcollege;GRAD-EMS-OHT/DAG/1A;GRAD-EMS-OHT;1;laptoplokaal;90;142.48;3;7;17
20251117;154500;174500;Activerend hoorcollege;GRAD-EMS-OHT/DAG/1B;GRAD-EMS-OHT;1;laptoplokaal;90;142.48;3;5;21
20251117;154500;174500;Activerend hoorcollege;GRAD-EMS-MRT/DAG/1B;GRAD-EMS-MRT;1;laptoplokaal;90;142.48;3;7;21
20251117;154500;174500;Activerend hoorcollege;GRAD-EMS-OHT/DAG/1C;GRAD-EMS-OHT;1;laptoplokaal;90;142.48;3;2;21
20251006;180000;200000;Activerend hoorcollege;GRAD-EMS/AVOND/1A;GRAD-EMS;2;leslokaal;76;94.26;3;0;7
20251006;180000;200000;Activerend hoorcollege;GRAD-EMS/AVOND/1B;GRAD-EMS;2;leslokaal;76;94.26;3;0;5
20251117;180000;200000;Activerend hoorcollege;GRAD-EMS/AVOND/1A;GRAD-EMS;1;laptoplokaal;90;142.48;3;2;7
20251117;180000;200000;Activerend hoorcollege;GRAD-EMS/AVOND/1B;GRAD-EMS;1;laptoplokaal;90;142.48;3;1;5
20251103;180000;200000;Activerend hoorcollege;GRAD-EMS/AVOND/1A;GRAD-EMS;1;laptoplokaal;90;142.48;3;1;7
20251103;180000;200000;Activerend hoorcollege;GRAD-EMS/AVOND/1B;GRAD-EMS;1;laptoplokaal;90;142.48;3;0;5
20251008;133000;153000;Activerend hoorcollege;GRAD-EMS-MRT/DAG/1A;GRAD-EMS-MRT;1;auditorium;107;127.64;6;9;21
20251008;133000;153000;Activerend hoorcollege;GRAD-EMS-OHT/DAG/1A;GRAD-EMS-OHT;1;auditorium;107;127.64;6;9;19
20251008;133000;153000;Activerend hoorcollege;GRAD-EMS-OHT/DAG/1B;GRAD-EMS-OHT;1;auditorium;107;127.64;6;14;23
20251008;133000;153000;Activerend hoorcollege;GRAD-EMS-MRT/DAG/1B;GRAD-EMS-MRT;1;auditorium;107;127.64;6;10;19
20251008;133000;153000;Activerend hoorcollege;GRAD-EMS-OHT/DAG/1C;GRAD-EMS-OHT;1;auditorium;107;127.64;6;7;22
20251105;103000;123000;Activerend hoorcollege;GRAD-EMS-MRT/DAG/1A;GRAD-EMS-MRT;3;auditorium;101;118.11;6;0;21
20251105;103000;123000;Activerend hoorcollege;GRAD-EMS-OHT/DAG/1A;GRAD-EMS-OHT;3;auditorium;101;118.11;6;0;19
20251105;103000;123000;Activerend hoorcollege;GRAD-EMS-OHT/DAG/1B;GRAD-EMS-OHT;3;auditorium;101;118.11;6;0;23
20251105;103000;123000;Activerend hoorcollege;GRAD-EMS-MRT/DAG/1B;GRAD-EMS-MRT;3;auditorium;101;118.11;6;0;19
20251105;103000;123000;Activerend hoorcollege;GRAD-EMS-OHT/DAG/1C;GRAD-EMS-OHT;3;auditorium;101;118.11;6;0;22
20251008;154500;174500;Activerend hoorcollege;GRAD-EMS-MRT/DAG/1A;GRAD-EMS-MRT;0;auditorium;107;110.25;4;7;22
20251008;154500;174500;Activerend hoorcollege;GRAD-EMS-OHT/DAG/1A;GRAD-EMS-OHT;0;auditorium;107;110.25;4;9;21
20251008;154500;174500;Activerend hoorcollege;GRAD-EMS-OHT/DAG/1B;GRAD-EMS-OHT;0;auditorium;107;110.25;4;12;23
20251008;154500;174500;Activerend hoorcollege;GRAD-EMS-MRT/DAG/1B;GRAD-EMS-MRT;0;auditorium;107;110.25;4;11;23
20251008;154500;174500;Activerend hoorcollege;GRAD-EMS-OHT/DAG/1C;GRAD-EMS-OHT;0;auditorium;107;110.25;4;6;22
20251105;81500;101500;Activerend hoorcollege;GRAD-EMS-MRT/DAG/1A;GRAD-EMS-MRT;3;auditorium;101;118.11;6;1;21
20251105;81500;101500;Activerend hoorcollege;GRAD-EMS-OHT/DAG/1A;GRAD-EMS-OHT;3;auditorium;101;118.11;6;2;19
